id,title,author,genre,isbn,year,rating,quantity,borrowCount
1,To Kill a Mockingbird,Harper Lee,Philosophy,2852792095852,1882,5.4,1,1
2,1984,George Orwell,Philosophy,8611908019106,1955,4.9,1,0
3,The Great Gatsby,F. Scott Fitzgerald,Sci-Fi,3435842592082,1981,3.1,3,1
4,Pride and Prejudice,Jane Austen,Classic,9377662678857,1853,3.3,6,0
5,The Catcher in the Rye,J.D. Salinger,Fiction,3742142561580,1952,3.9,4,0
6,Moby Dick,Herman Melville,Fiction,5250614836004,1903,4.4,1,0
7,War and Peace,Leo Tolstoy,Sci-Fi,2293420507217,2014,4.2,2,0
8,Crime and Punishment,Fyodor Dostoevsky,Fantasy,4648780396671,1989,4.0,4,0
9,The Odyssey,Homer,Fantasy,9793769921949,1988,4.3,1,0
10,The Iliad,Homer,Philosophy,7710429251604,1893,4.7,0,3
11,Jane Eyre,Charlotte Bront,Sci-Fi,3458168614713,1985,3.2,1,0
12,Wuthering Heights,Emily Bront,Philosophy,3003409805933,1967,3.7,2,0
13,The Scarlet Letter,Nathaniel Hawthorne,Romance,9087067299573,1930,4.5,1,0
14,Great Expectations,Charles Dickens,Historical,6757854894215,2017,3.1,1,0
15,Brave New World,Aldous Huxley,Classic,2082907749200,1884,3.8,4,0
16,Animal Farm,George Orwell,Historical,1968806657060,1880,3.4,4,0
17,The Picture of Dorian Gray,Oscar Wilde,Philosophy,1429530213071,1932,3.2,3,0
18,Les Misérables,Victor Hugo,Classic,6417949136596,1986,4.2,1,0
19,The Count of Monte Cristo,Alexandre Dumas,Fantasy,1254191400744,1942,4.7,1,0
20,The Brothers Karamazov,Fyodor Dostoevsky,Sci-Fi,8634895033672,1865,3.8,4,0
21,Don Quixote,Miguel de Cervantes,Romance,2148312062251,1940,3.0,3,0
22,The Grapes of Wrath,John Steinbeck,Sci-Fi,8602964788723,1858,5.0,2,0
23,Of Mice and Men,John Steinbeck,Historical,4814874334277,2006,4.2,2,0
24,Dracula,Bram Stoker,Philosophy,4229631642608,1865,4.8,3,0
25,Frankenstein,Mary Shelley,Historical,3172815919421,1955,3.3,3,1
26,The Lord of the Flies,William Golding,Fiction,3336074784790,1971,4.8,1,0
27,The Old Man and the Sea,Ernest Hemingway,Fantasy,5058902510875,1860,3.1,4,0
28,Fahrenheit 451,Ray Bradbury,Classic,8356568255783,1884,4.6,3,0
29,The Sun Also Rises,Ernest Hemingway,Sci-Fi,5624153065702,1930,4.0,2,0
30,A Tale of Two Cities,Charles Dickens,Fantasy,9688172989230,1935,4.7,4,0
31,Sense and Sensibility,Jane Austen,Horror,2962496171831,1970,3.5,1,0
32,Emma,Jane Austen,Fiction,9827263725648,1913,3.1,2,0
33,Persuasion,Jane Austen,Fantasy,4836522799231,1872,4.7,2,0
34,The Hobbit,J.R.R. Tolkien,Horror,7036687039096,2024,3.7,1,0
35,The Lord of the Rings,J.R.R. Tolkien,Horror,5274875548647,2022,4.4,4,0
36,The Silmarillion,J.R.R. Tolkien,Horror,8526802339989,1959,4.5,1,0
37,The Chronicles of Narnia,C.S. Lewis,Horror,4485370252497,1894,5.0,4,0
38,The Little Prince,Antoine de Saint-Exupry,Sci-Fi,9557051036597,1902,4.0,2,0
